r_reco_mm,merged_smooth_bias_r_rec_minus_r_true_mm
6162.681340670336,-1.7794800652822051
6171.535767883943,-1.7874768786016628
6180.390195097549,-1.7958783303199448
6189.244622311156,-1.8046829478445723
6198.099049524763,-1.8138892585830655
6206.953476738369,-1.8234957899429431
6215.807903951976,-1.833501069331728
6224.662331165583,-1.8439036241569395
6233.516758379191,-1.8547019818260977
6242.371185592797,-1.8658946697467222
6251.225612806404,-1.8774802153263355
6260.0800400200105,-1.889457145972457
6268.9344672336165,-1.9018239890926052
6277.788894447224,-1.9145792720943036
6286.643321660831,-1.9277215223850706
6295.497748874437,-1.9412492673724262
6304.352176088044,-1.955161034463893
6313.206603301652,-1.9694553510669899
6322.061030515258,-1.984130744589236
6330.915457728865,-1.9991857424381545
6339.769884942471,-2.014618872021265
6348.624312156079,-2.0304286607460864
6357.478739369685,-2.0466136360201386
6366.333166583292,-2.0631723252509446
6375.187593796899,-2.0801032558460233
6384.042021010506,-2.0974049552128937
6392.896448224113,-2.1150759507590795
6401.7508754377195,-2.1331147698920994
6410.6053026513255,-2.1515199400194716
6419.459729864932,-2.1702899885487206
6428.31415707854,-2.1894234428873642
6437.168584292146,-2.2089188304429217
6446.023011505753,-2.2287746786229166
6454.87743871936,-2.248989514834868
6463.731865932968,-2.269561866486296
6472.586293146574,-2.290490260984719
6481.44072036018,-2.31177322573766
6490.295147573787,-2.33340928815264
6499.149574787394,-2.355396975637176
6508.004002001001,-2.377734815598792
6516.858429214608,-2.400421335445007
6525.712856428214,-2.423455062583339
6534.567283641821,-2.4468345244213134
6543.4217108554285,-2.470558248366446
6552.276138069035,-2.4946247618262603
6561.130565282641,-2.5190325922082724
6569.984992496248,-2.543780266920008
6578.839419709856,-2.568866313368984
6587.693846923462,-2.594289258962721
6596.548274137069,-2.6200476311087413
6605.402701350676,-2.6461399572145656
6614.2571285642825,-2.6725647646877086
6623.111555777889,-2.6993205809356984
6631.965982991496,-2.726405933366051
6640.820410205102,-2.7538193493862857
6649.67483741871,-2.781559356403927
6658.529264632317,-2.809624481826493
6667.383691845924,-2.8380132530615043
6676.23811905953,-2.8667241975164792
6685.092546273137,-2.8957558425989416
6693.946973486744,-2.92510671571641
6702.80140070035,-2.9547753442764026
6711.655827913957,-2.9847602556864454
6720.510255127564,-3.0150599773540545
6729.364682341171,-3.0456730366867486
6738.219109554778,-3.0765979610920553
6747.073536768385,-3.1078332779774884
6755.9279639819915,-3.139377514750572
6764.782391195598,-3.171229198818821
6773.636818409205,-3.203386857589763
6782.491245622812,-3.2358490184709137
6791.345672836418,-3.268614208869793
6800.200100050025,-3.3016809561939264
6809.054527263633,-3.33504778785083
6817.908954477239,-3.3687132312480217
6826.763381690846,-3.4026758137930275
6835.617808904452,-3.4369340628933682
6844.472236118059,-3.4714865059565563
6853.326663331666,-3.5063316703901206
6862.181090545273,-3.5414680836015777
6871.03551775888,-3.5768942729984503
6879.889944972487,-3.6126087659882526
6888.744372186094,-3.6486100899785123
6897.5987993997005,-3.6848967723767476
6906.4532266133065,-3.721467340590475
6915.307653826914,-3.75832032202722
6924.162081040521,-3.795454244094501
6933.016508254127,-3.832867634199835
6941.870935467734,-3.8705590197507496
6950.725362681341,-3.9085269281547603
6959.579789894949,-3.9467698868193914
6968.434217108555,-3.9852864231521514
6977.288644322161,-4.024075064560577
6986.143071535768,-4.063134338452182
